prob_density,r,z,vr,vz
6.2e-05,4.212693e-08,1.7426225085000001e-06,-0.0527724557,0.0666843405
6.1e-05,4.225865500000001e-08,1.7424564695000002e-06,-0.0525313339,0.0662156204
6e-05,4.23914175e-08,1.742289537e-06,-0.0522900539,0.0657482398
5.9e-05,4.252521650000001e-08,1.7421217185000002e-06,-0.0520486259,0.065282241
5.7e-05,4.26600565e-08,1.741953016e-06,-0.0518070587,0.0648176649
5.6e-05,4.2795942500000005e-08,1.7417834275e-06,-0.0515653689,0.064354558
5.5e-05,4.2932865000000005e-08,1.7416129720000002e-06,-0.0513235863,0.0638929905
5.4e-05,4.30708495e-08,1.7414416235e-06,-0.0510816694,0.0634329325
5.3e-05,4.3209873500000005e-08,1.7412694160000002e-06,-0.0508397013,0.0629745158
5.2e-05,4.334995250000001e-08,1.7410963365000004e-06,-0.0505976355,0.0625177164
5.1e-05,4.3491092000000005e-08,1.740922384e-06,-0.0503555104,0.0620626
5e-05,4.363328050000001e-08,1.7407475775000002e-06,-0.0501133292,0.0616092026
4.9e-05,4.3776527e-08,1.7405719125e-06,-0.0498710923,0.0611575548
4.8e-05,4.3920846000000004e-08,1.7403953770000002e-06,-0.0496288309,0.0607077114
4.7e-05,4.406622300000001e-08,1.7402179930000002e-06,-0.0493865407,0.0602596944
4.6e-05,4.4212663e-08,1.7400397610000002e-06,-0.0491442444,0.0598135643
4.5e-05,4.4360168500000004e-08,1.7398606820000002e-06,-0.0489019448,0.0593693481
4.4e-05,4.45087585e-08,1.7396807385e-06,-0.0486596138,0.058927027
4.3e-05,4.4658420000000003e-08,1.7394999520000003e-06,-0.0484173021,0.0584866869
4.2e-05,4.4809156e-08,1.739318323e-06,-0.0481750064,0.0580483549
4.1e-05,4.496096950000001e-08,1.7391358530000001e-06,-0.0479327274,0.0576120546
4e-05,4.511386350000001e-08,1.7389525430000001e-06,-0.0476904943,0.0571778114
3.9e-05,4.5267841000000004e-08,1.7387683955000002e-06,-0.047448447,0.0567455395
3.8e-05,4.542290450000001e-08,1.7385834125e-06,-0.0472066598,0.056315206
3.8e-05,4.557905650000001e-08,1.7383975970000002e-06,-0.0469651411,0.055886837
3.7e-05,4.5736302e-08,1.7382109495000001e-06,-0.0467239031,0.0554604632
3.6e-05,4.5894641500000005e-08,1.7380234745e-06,-0.0464829521,0.0550361088
3.5e-05,4.6054075000000004e-08,1.7378351780000002e-06,-0.0462422976,0.0546138034
3.4e-05,4.6214605000000004e-08,1.7376460620000001e-06,-0.0460019555,0.0541935829
3.4e-05,4.6376233500000004e-08,1.73745613e-06,-0.0457619339,0.0537754733
3.3e-05,4.653896450000001e-08,1.7372653830000002e-06,-0.045522233,0.0533594897
3.2e-05,4.670280050000001e-08,1.7370738225e-06,-0.0452828671,0.0529456636
3.2e-05,4.686774200000001e-08,1.7368814535e-06,-0.0450438345,0.0525340086
3.1e-05,4.703379e-08,1.73668828e-06,-0.0448051305,0.0521245355
3e-05,4.72009455e-08,1.7364943050000002e-06,-0.0445668262,0.0517173424
2.9e-05,4.736921e-08,1.7362995325000002e-06,-0.0443288612,0.0513123738
2.9e-05,4.753858500000001e-08,1.7361039645000003e-06,-0.044091281,0.0509096971
2.8e-05,4.7709072e-08,1.7359076050000001e-06,-0.0438540705,0.0505093085
2.8e-05,4.7880672000000005e-08,1.7357104560000002e-06,-0.0436172529,0.0501112487
2.7e-05,4.8053398e-08,1.7355125080000002e-06,-0.0433808103,0.0497155063
2.6e-05,4.8227250000000006e-08,1.7353137645e-06,-0.043144748,0.0493220972
2.6e-05,4.84022205e-08,1.7351142380000003e-06,-0.0429090926,0.0489310681
2.5e-05,4.85783105e-08,1.7349139320000002e-06,-0.0426738412,0.0485424318
2.5e-05,4.8755520500000004e-08,1.734712849e-06,-0.042439005,0.0481562131
2.4e-05,4.8933877500000006e-08,1.734510962e-06,-0.0422045627,0.0477723652
2.4e-05,4.911336050000001e-08,1.7343083000000003e-06,-0.0419706695,0.0473908348
2.3e-05,4.9293967500000006e-08,1.7341048710000002e-06,-0.0417373961,0.0470115907
2.3e-05,4.9475706000000005e-08,1.7339006700000001e-06,-0.0415047557,0.0466346541
2.2e-05,4.965859700000001e-08,1.7336956790000001e-06,-0.0412726898,0.0462599588
2.2e-05,4.984261400000001e-08,1.7334899325e-06,-0.0410412885,0.0458876167
2.1e-05,5.002776e-08,1.7332834320000002e-06,-0.0408105303,0.0455176194
2.1e-05,5.0214070500000006e-08,1.7330761415000003e-06,-0.040580378,0.0451499217
2e-05,5.0401507500000004e-08,1.7328681095000002e-06,-0.0403508964,0.0447846044
2e-05,5.0590084000000005e-08,1.7326593245000001e-06,-0.0401220661,0.0444216609
1.9e-05,5.0779821e-08,1.7324497680000002e-06,-0.0398938673,0.0440610666
1.9e-05,5.0970684000000005e-08,1.7322394825000001e-06,-0.0396663527,0.043702891
1.9e-05,5.11627115e-08,1.732028429e-06,-0.0394394765,0.0433470887
1.8e-05,5.13558785e-08,1.7318166395000002e-06,-0.0392132761,0.0429937039
1.8e-05,5.155019200000001e-08,1.73160411e-06,-0.0389877516,0.0426427475
1.7e-05,5.1745668e-08,1.731390826e-06,-0.038762887,0.042294202
1.7e-05,5.194227850000001e-08,1.7311768220000002e-06,-0.0385387195,0.0419481163
1.7e-05,5.2140068500000006e-08,1.730962052e-06,-0.0383151882,0.0416044254
1.6e-05,5.2338987e-08,1.7307465755000002e-06,-0.0380923828,0.0412632333
1.6e-05,5.2539095000000005e-08,1.730530329e-06,-0.0378702063,0.0409244372
1.6e-05,5.274033200000001e-08,1.7303133805000002e-06,-0.0376487543,0.040588145
1.5e-05,5.294276300000001e-08,1.7300956635000002e-06,-0.0374279506,0.0402542777
1.5e-05,5.3146327000000007e-08,1.7298772455e-06,-0.0372078554,0.0399229034
1.5e-05,5.3351081500000004e-08,1.7296580675000001e-06,-0.0369884066,0.0395939599
1.4e-05,5.355698150000001e-08,1.7294381800000001e-06,-0.0367696825,0.0392674905
1.4e-05,5.37640615e-08,1.7292175510000001e-06,-0.0365517637,0.0389433618
1.4e-05,5.3972306e-08,1.7289962000000003e-06,-0.0363347015,0.0386215505
1.3e-05,5.41817115e-08,1.7287741350000002e-06,-0.0361185033,0.0383020704
